,language,bert,fast,onehot,random,n_train,n_test,entropy,entropy_conditional,n_classes
0,english,0.4547,1.0009,1.347,1.6108,192042,23019,4.4818914727708945,1.0055802713083695,48
0,czech,0.4182,0.5923,0.9728,1.576,1104787,163770,4.242502207351556,0.7801720618408688,42
0,basque,0.6204,0.7463,1.3862,1.705,67578,22575,4.026501217135457,0.5523981548345287,29
0,finnish,0.62,0.7188,1.7666,2.2139,150362,19515,4.418017690019615,0.5240356183950902,44
0,turkish,1.1199,1.167,2.0061,2.1405,34120,9046,3.952603694506015,0.5394098488641115,31
0,tamil,1.1679,1.227,2.4415,2.3215,5929,1869,3.7791014240098764,0.31406697301132885,28
0,korean,0.3968,0.7608,1.4951,2.0815,273436,26079,4.165542548616413,0.3472153085399227,30
0,marathi,1.3887,1.6497,2.2562,2.1199,2624,365,4.010142296952517,0.8073028524170877,39
0,urdu,0.6274,0.9319,1.0827,1.2551,104647,14271,3.8275496224124965,1.0152397491001761,24
0,telugu,1.0871,1.3136,1.8473,1.9638,4031,575,3.644931133367359,0.30817765683622983,41
0,indonesian,0.7693,1.1285,1.518,1.7642,93054,11223,4.163553471873628,0.8318972551767106,30
