,language,hidden_size_bert,nlayers_bert,dropout_bert,pca_size_bert,train_loss_bert,dev_loss_bert,test_loss_bert,train_acc_bert,dev_acc_bert,test_acc_bert,representation_bert,hidden_size_fast,nlayers_fast,dropout_fast,pca_size_fast,train_loss_fast,dev_loss_fast,test_loss_fast,train_acc_fast,dev_acc_fast,test_acc_fast,representation_fast,hidden_size_onehot,nlayers_onehot,dropout_onehot,pca_size_onehot,train_loss_onehot,dev_loss_onehot,test_loss_onehot,train_acc_onehot,dev_acc_onehot,test_acc_onehot,representation_onehot,hidden_size_random,nlayers_random,dropout_random,pca_size_random,train_loss_random,dev_loss_random,test_loss_random,train_acc_random,dev_acc_random,test_acc_random,representation_random
0,english,184,2,0.2,768,0.2824,0.4645,0.4547,0.9417,0.9081,0.9095,bert,298,2,0.12,300,0.8002,1.019,1.0009,0.8198,0.7834,0.7836,fast,87,1,0.48,209,0.9445,1.3488,1.347,0.7956,0.7249,0.7216,onehot,357,1,0.25,263,1.1946,1.6184,1.6108,0.7489,0.6777,0.6816,random
0,czech,298,2,0.12,768,0.3508,0.3989,0.4182,0.9251,0.9165,0.9139,bert,401,3,0.05,300,0.4885,0.5585,0.5923,0.8952,0.8822,0.8785,fast,115,1,0.31,178,0.6732,0.928,0.9728,0.8569,0.8041,0.7969,onehot,393,2,0.02,184,1.4071,1.5467,1.576,0.706,0.6836,0.6789,random
0,basque,298,2,0.29,768,0.3522,0.6216,0.6204,0.9238,0.8685,0.8694,bert,464,2,0.41,300,0.4788,0.7532,0.7463,0.8902,0.8359,0.835,fast,97,1,0.5,242,0.596,1.3735,1.3862,0.8761,0.7165,0.7113,onehot,357,1,0.25,263,0.765,1.6956,1.705,0.8535,0.6537,0.6472,random
0,finnish,184,2,0.2,768,0.428,0.6121,0.62,0.9078,0.8742,0.8735,bert,298,2,0.29,300,0.5215,0.7031,0.7188,0.8903,0.854,0.8535,fast,87,1,0.48,209,0.8296,1.7763,1.7666,0.8316,0.6484,0.6508,onehot,333,2,0.11,292,1.5288,2.2401,2.2139,0.6898,0.5594,0.5642,random
0,turkish,206,2,0.24,768,0.6468,1.1987,1.1199,0.8642,0.7492,0.7681,bert,464,2,0.41,300,0.7052,1.2623,1.167,0.8462,0.7384,0.7498,fast,97,1,0.5,242,0.8777,2.0415,2.0061,0.8496,0.5837,0.5863,onehot,484,3,0.28,280,1.0582,2.1857,2.1405,0.8049,0.5428,0.5384,random
0,tamil,144,1,0.38,768,0.3187,1.1345,1.1679,0.9472,0.7523,0.7592,bert,421,2,0.5,300,0.5513,1.2732,1.227,0.8904,0.7287,0.7437,fast,497,3,0.45,153,0.9865,2.2849,2.4415,0.829,0.5359,0.5094,onehot,497,3,0.45,153,0.6908,2.1659,2.3215,0.8924,0.5672,0.542,random
0,korean,304,3,0.08,768,0.2714,0.3768,0.3968,0.9425,0.9233,0.9179,bert,298,2,0.12,300,0.5393,0.7626,0.7608,0.8818,0.8339,0.8372,fast,97,1,0.5,242,0.6946,1.4976,1.4951,0.868,0.6814,0.6836,onehot,484,3,0.06,100,1.6355,2.0434,2.0815,0.6487,0.5584,0.5586,random
0,marathi,182,1,0.34,768,0.2465,1.3638,1.3887,0.9619,0.7335,0.7479,bert,359,1,0.46,300,0.6477,1.7501,1.6497,0.8727,0.6599,0.6986,fast,45,1,0.5,210,1.1109,2.309,2.2562,0.8075,0.5964,0.6055,onehot,195,3,0.37,49,1.0412,2.284,2.1199,0.8114,0.5736,0.6219,random
0,urdu,206,2,0.24,768,0.4387,0.625,0.6274,0.904,0.8723,0.8686,bert,410,3,0.25,300,0.6821,0.9229,0.9319,0.8471,0.802,0.799,fast,87,1,0.48,209,0.7693,1.0675,1.0827,0.8323,0.7689,0.7614,onehot,484,3,0.28,280,0.997,1.2025,1.2551,0.782,0.7375,0.7252,random
0,telugu,115,1,0.45,768,0.2982,0.9579,1.0871,0.9524,0.8098,0.7983,bert,421,2,0.5,300,0.4287,1.0673,1.3136,0.9263,0.8117,0.7791,fast,87,1,0.48,209,0.4014,1.6587,1.8473,0.9534,0.7119,0.6748,onehot,182,2,0.44,131,0.5863,1.6958,1.9638,0.9424,0.7081,0.687,random
0,indonesian,184,2,0.2,768,0.4673,0.7521,0.7693,0.9017,0.8492,0.8494,bert,298,2,0.29,300,0.8627,1.1447,1.1285,0.8029,0.7537,0.7551,fast,97,1,0.5,242,0.8816,1.5208,1.518,0.8058,0.6887,0.6912,onehot,484,3,0.28,280,1.3483,1.7853,1.7642,0.7114,0.6413,0.6433,random
